   7.31429 +1.13532E-03 +1.16623E-03 +8.13796E-05
   9.14286 +1.28093E-03 +1.00459E-03 +8.13937E-05
  11.63636 +1.19183E-03 +7.91842E-04 +7.15449E-05
  15.05882 +1.16923E-03 +6.87600E-04 +6.78213E-05
  19.69231 +1.14491E-03 +5.56518E-04 +6.36500E-05
  25.60000 +1.13116E-03 +4.78854E-04 +6.14169E-05
  33.03226 +1.10729E-03 +4.34717E-04 +5.94785E-05
  42.66667 +1.07950E-03 +4.01209E-04 +5.75825E-05
  53.89473 +1.06233E-03 +3.86922E-04 +5.65298E-05
  68.26666 +1.03312E-03 +3.95472E-04 +5.53113E-05
  85.33333 +9.97177E-04 +4.13677E-04 +5.39790E-05
 102.40000 +9.54905E-04 +4.27452E-04 +5.23106E-05
 132.12900 +8.80270E-04 +4.55378E-04 +4.95541E-05
 170.66670 +7.89320E-04 +4.74124E-04 +4.60386E-05
 215.57900 +6.97021E-04 +4.76303E-04 +4.22109E-05
 273.06670 +6.06168E-04 +4.62776E-04 +3.81314E-05
 341.33330 +5.27290E-04 +4.42454E-04 +3.44166E-05
 409.60000 +4.65532E-04 +4.14269E-04 +3.11584E-05
 528.51610 +3.97937E-04 +3.74735E-04 +2.73304E-05
 682.66660 +3.38358E-04 +3.34491E-04 +2.37892E-05
 862.31580 +2.94542E-04 +2.97537E-04 +2.09334E-05
1092.26700 +2.54377E-04 +2.67064E-04 +1.84412E-05
1365.33300 +2.22291E-04 +2.41896E-04 +1.64261E-05
1638.40000 +1.99800E-04 +2.16779E-04 +1.47405E-05
2259.86200 +1.60781E-04 +1.85853E-04 +1.22874E-05
3120.76200 +1.33919E-04 +1.60983E-04 +1.04702E-05
4681.14400 +1.04901E-04 +1.31320E-04 +8.40375E-06
7281.77800 +7.44255E-05 +1.08515E-04 +6.57924E-06
11915.64000 +4.34100E-05 +8.61756E-05 +4.82459E-06
