   7.31429 +1.35266E-03 +1.23933E-03 +9.17283E-05
   9.14286 +1.33644E-03 +9.45217E-04 +8.18459E-05
  11.63636 +1.23423E-03 +8.31195E-04 +7.44009E-05
  15.05882 +1.21682E-03 +7.11124E-04 +7.04689E-05
  19.69231 +1.18307E-03 +6.23667E-04 +6.68697E-05
  25.60000 +1.14852E-03 +5.62909E-04 +6.39524E-05
  33.03226 +1.10997E-03 +5.19636E-04 +6.12790E-05
  42.66667 +1.07107E-03 +5.00290E-04 +5.91077E-05
  53.89473 +1.02129E-03 +4.94957E-04 +5.67454E-05
  68.26666 +9.52713E-04 +4.99110E-04 +5.37767E-05
  85.33333 +8.74169E-04 +4.93639E-04 +5.01959E-05
 102.40000 +8.19559E-04 +4.80874E-04 +4.75109E-05
 132.12900 +7.39954E-04 +4.65240E-04 +4.37030E-05
 170.66670 +6.64832E-04 +4.43893E-04 +3.99701E-05
 215.57900 +5.92727E-04 +4.25683E-04 +3.64874E-05
 273.06670 +5.27409E-04 +4.11284E-04 +3.34408E-05
 341.33330 +4.69847E-04 +3.90049E-04 +3.05326E-05
 409.60000 +4.24556E-04 +3.72357E-04 +2.82355E-05
 528.51610 +3.58415E-04 +3.54340E-04 +2.52001E-05
 682.66660 +2.94982E-04 +3.27418E-04 +2.20350E-05
 862.31580 +2.47820E-04 +3.01346E-04 +1.95080E-05
1092.26700 +1.97900E-04 +2.67242E-04 +1.66270E-05
1365.33300 +1.64831E-04 +2.46547E-04 +1.48286E-05
1638.40000 +1.34232E-04 +2.26476E-04 +1.31634E-05
2259.86200 +9.95671E-05 +1.86812E-04 +1.05845E-05
3120.76200 +6.82366E-05 +1.52867E-04 +8.37029E-06
4681.14400 +3.96594E-05 +1.10881E-04 +5.88802E-06
7281.77800 +1.98683E-05 +8.76855E-05 +4.49541E-06
11915.64000 +6.52239E-06 +5.64154E-05 +2.83956E-06
