   7.31429 +1.81570E-03 +5.13719E-04 +9.43489E-05
   9.14286 +1.50808E-03 +5.19235E-04 +7.97482E-05
  11.63636 +1.61334E-03 +4.14971E-04 +8.32925E-05
  15.05882 +1.62375E-03 +4.35114E-04 +8.40520E-05
  19.69231 +1.59673E-03 +4.24265E-04 +8.26065E-05
  25.60000 +1.57943E-03 +4.16638E-04 +8.16728E-05
  33.03226 +1.53236E-03 +4.19910E-04 +7.94425E-05
  42.66667 +1.49915E-03 +4.27778E-04 +7.79492E-05
  53.89473 +1.44714E-03 +4.48251E-04 +7.57488E-05
  68.26666 +1.37432E-03 +4.75153E-04 +7.27073E-05
  85.33333 +1.30309E-03 +4.95002E-04 +6.96971E-05
 102.40000 +1.23469E-03 +5.09257E-04 +6.67797E-05
 132.12900 +1.14374E-03 +5.06688E-04 +6.25475E-05
 170.66670 +1.06438E-03 +5.06192E-04 +5.89309E-05
 215.57900 +9.87528E-04 +5.07830E-04 +5.55226E-05
 273.06670 +9.04326E-04 +5.14282E-04 +5.20166E-05
 341.33330 +8.26869E-04 +5.21830E-04 +4.88881E-05
 409.60000 +7.55135E-04 +5.15696E-04 +4.57212E-05
 528.51610 +6.63900E-04 +5.10846E-04 +4.18846E-05
 682.66660 +5.67160E-04 +4.88269E-04 +3.74191E-05
 862.31580 +4.87101E-04 +4.67233E-04 +3.37481E-05
1092.26700 +4.05079E-04 +4.27848E-04 +2.94594E-05
1365.33300 +3.42055E-04 +3.86466E-04 +2.58049E-05
1638.40000 +2.99735E-04 +3.66168E-04 +2.36601E-05
2259.86200 +2.39354E-04 +3.09934E-04 +1.95799E-05
3120.76200 +1.69768E-04 +2.66192E-04 +1.57860E-05
4681.14400 +1.17621E-04 +2.10635E-04 +1.20625E-05
7281.77800 +7.69929E-05 +1.54911E-04 +8.64947E-06
11915.64000 +5.67263E-05 +1.00487E-04 +5.76963E-06
18724.57000 +3.58773E-05 +7.27040E-05 +4.05372E-06
