   7.31429 +7.17736E-03 +2.26624E-03 +3.76332E-04
   9.14286 +6.84507E-03 +2.41019E-03 +3.62850E-04
  11.63636 +6.73771E-03 +2.48326E-03 +3.59038E-04
  15.05882 +6.38044E-03 +2.63438E-03 +3.45145E-04
  19.69231 +5.77286E-03 +2.76993E-03 +3.20150E-04
  25.60000 +5.21114E-03 +2.79427E-03 +2.95651E-04
  33.03226 +4.73451E-03 +2.81118E-03 +2.75310E-04
  42.66667 +4.19257E-03 +2.77372E-03 +2.51352E-04
  53.89473 +3.71991E-03 +2.70181E-03 +2.29878E-04
  68.26666 +3.21950E-03 +2.57431E-03 +2.06108E-04
  85.33333 +2.82280E-03 +2.45381E-03 +1.87012E-04
 102.40000 +2.52690E-03 +2.32143E-03 +1.71568E-04
 132.12900 +2.12556E-03 +2.11169E-03 +1.49810E-04
 170.66670 +1.78927E-03 +1.90204E-03 +1.30568E-04
 215.57900 +1.51441E-03 +1.71485E-03 +1.14391E-04
 273.06670 +1.26673E-03 +1.52340E-03 +9.90624E-05
 341.33330 +1.08497E-03 +1.36066E-03 +8.70139E-05
 409.60000 +9.55469E-04 +1.23262E-03 +7.79787E-05
 528.51610 +7.90118E-04 +1.06479E-03 +6.62960E-05
 682.66660 +6.59051E-04 +9.08547E-04 +5.61205E-05
 862.31580 +5.67711E-04 +7.87750E-04 +4.85501E-05
1092.26700 +4.77898E-04 +6.74011E-04 +4.13121E-05
1365.33300 +4.23572E-04 +5.90931E-04 +3.63529E-05
1638.40000 +3.77940E-04 +5.29231E-04 +3.25163E-05
2259.86200 +3.11235E-04 +4.35527E-04 +2.67652E-05
3120.76200 +2.57718E-04 +3.54847E-04 +2.19280E-05
4681.14400 +1.99178E-04 +2.82723E-04 +1.72919E-05
7281.77800 +1.46891E-04 +2.19951E-04 +1.32245E-05
11915.64000 +1.09815E-04 +1.67312E-04 +1.00066E-05
18724.57000 +7.73916E-05 +1.14741E-04 +6.92006E-06
