     1.00000 +1.0325E+02 +1.4602E+00 +4.5000E+01 +4.0514E-01
      2.51189 +1.1131E+02 +1.5741E+00 +4.5000E+01 +4.0514E-01
      6.30957 +8.6908E+01 +1.2298E+00 +4.4965E+01 +4.0539E-01
     15.84893 +1.0551E+02 +1.4762E+00 +4.5611E+01 +4.0080E-01
     39.81072 +9.0551E+01 +1.3010E+00 +4.4079E+01 +4.1160E-01
    100.00000 +9.2952E+01 +1.5135E+00 +3.5501E+01 +4.6645E-01
    251.18864 +1.5385E+02 +2.4727E+00 +3.6522E+01 +4.6044E-01
    630.95734 +1.8878E+02 +2.4140E+00 +5.0255E+01 +3.6633E-01
   1584.89319 +1.6001E+02 +1.4590E+00 +6.2877E+01 +2.6121E-01
   3981.07171 +8.7795E+01 +6.6796E-01 +6.7641E+01 +2.1796E-01
  10000.00000 +4.0108E+01 +3.1521E-01 +6.6862E+01 +2.2515E-01
 
