      1.00     10.00      0.10
       1.15     10.00      0.10
       1.32     10.00      0.10
       1.51     10.00      0.10
       1.74     10.00      0.10
       2.00     10.00      0.10
       2.29     10.00      0.10
       2.63     10.00      0.10
       3.02     10.00      0.10
       3.47     10.00      0.10
       3.98     10.00      0.10
       4.57     10.00      0.10
       5.25     10.00      0.10
       6.03     10.01      0.10
       6.92     10.01      0.10
       7.94     10.01      0.10
       9.12     10.02      0.10
      10.47     10.03      0.10
      12.02     10.04      0.10
      13.80     10.06      0.10
      15.85     10.09      0.10
      18.20     10.14      0.10
      20.89     10.20      0.10
      23.99     10.30      0.10
      27.54     10.44      0.10
      31.62     10.65      0.11
      36.31     10.95      0.11
      41.69     11.38      0.11
      47.86     11.97      0.12
      54.95     12.77      0.13
      63.10     13.84      0.14
      72.44     15.22      0.15
      83.18     16.96      0.17
      95.50     19.10      0.19
     109.65     21.67      0.22
     125.89     24.68      0.25
     144.54     28.19      0.28
     165.96     32.21      0.32
     190.55     36.80      0.37
     218.78     42.03      0.42
     251.19     47.98      0.48
     288.40     54.72      0.55
     331.13     62.36      0.62
     380.19     71.00      0.71
     436.52     80.75      0.81
     501.19     91.72      0.92
     575.44    104.05      1.04
     660.69    117.85      1.18
     758.58    133.26      1.33
     870.96    150.40      1.50
    1000.00    169.41      1.69
 
